專屬碼	使用類型 1:過場提示 2:路人對話 3:路人對話-對戰失敗 4:路人對話-對戰勝利 5:路人對話-選擇逃跑	內容	圖檔編號
6002002	1	9270002	d0002
6002003	1	9270003	d0003
6002004	1	9270004	d0004
6002005	1	9270005	d0005
6002006	1	9270006	d0006
6002007	1	9270007	d0007
6002008	1	9270008	d0008
6002009	1	9270009	d0009
6002010	1	9270010	d0010
6002011	1	9270011	d0011
6002012	1	9270012	d0012
6004001	2	9220001
6004002	2	9220002
6004003	2	9220003
6004004	2	9220004
6004005	2	9220005
6004006	2	9220006
6004007	2	9220007
6004008	2	9220008
6004009	2	9220009
6004010	2	9220010
6004011	2	9220011
6004012	2	9220012
6004013	2	9220013
6004101	3	9220101
6004102	3	9220102
6004103	3	9220103
6004104	3	9220104
6004105	3	9220105
6004106	3	9220106
6004107	3	9220107
6004108	3	9220108
6004109	3	9220109
6004110	3	9220110
6004111	3	9220111
6004112	3	9220112
6004113	3	9220113
6004201	4	9220201
6004202	4	9220202
6004203	4	9220203
6004204	4	9220204
6004205	4	9220205
6004206	4	9220206
6004207	4	9220207
6004208	4	9220208
6004209	4	9220209
6004210	4	9220210
6004211	4	9220211
6004212	4	9220212
6004213	4	9220213
6004301	5	9220301
6004302	5	9220302
6004303	5	9220303
6004304	5	9220304
6004305	5	9220305
6004306	5	9220306
6004307	5	9220307
6004308	5	9220308
6004309	5	9220309
6004310	5	9220310
6004311	5	9220311
6004312	5	9220312
6004313	5	9220313
